image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
440475,advlogo_eps0.9_iter9,9,0.0625,0,0.9911539,45.9762766,0.998766661,0.999305844,0.031406011,0.004859924,298115,0.005383966,0.002565588,0.00253675,0.002567855
101762,advlogo_eps0.9_iter9,9,0.333333333,0,0.9894646,46.08319933,0.998599946,0.999156177,0.041914139,0.007399499,303058,0.005641945,0.002735988,0.002715511,0.002778041
203317,advlogo_eps0.9_iter27,27,1,0,0.98749495,40.62768148,0.998253703,0.998301446,0.034991622,0.008679986,371871,0.010231911,0.005092669,0.005103786,0.005087637
569917,advlogo_eps0.9_iter1,1,0.083333333,0,0.9993306,57.29888528,0.999901414,0.999929905,0.00329341,0.000537515,39238,0.000592325,0.000279368,0.000278527,0.000278407
63740,advlogo_eps0.9_iter3,3,0.061038961,0,0.9966359,50.90095462,0.999607205,0.9996472,0.015950721,0.004010916,190713,0.002806695,0.001296531,0.001292289,0.001308738
36494,advlogo_eps0.9_iter17,17,0.0364168,0,0.9876513,41.65931617,0.998606861,0.999012887,0.051034071,0.009335518,340914,0.008694513,0.004301927,0.004278938,0.00420151
210032,advlogo_eps0.9_iter5,5,0.060606061,0,0.9960235,48.63634419,0.999516726,0.999659836,0.019701065,0.001252592,224303,0.003682906,0.001709727,0.00170014,0.001744112
488270,advlogo_eps0.9_iter2,2,1,0,0.9980218,54.0296496,0.99970907,0.999748826,0.012882899,0.005033374,49083,0.000889021,0.000424136,0.000428577,0.00042931
67180,advlogo_eps0.9_iter5,5,0.333333333,0,0.9961484,48.33147281,0.999435782,0.999629021,0.020192951,0.004586816,247419,0.004190587,0.001989542,0.001956157,0.00201319
126226,advlogo_eps0.9_iter28,28,0.153679654,0,0.97443444,41.58210471,0.99562192,0.998158395,0.067189783,0.006274104,361360,0.008947398,0.004379933,0.004360428,0.00442723
190923,advlogo_eps0.9_iter34,34,0.465909091,0,0.9803502,40.27212514,0.997468889,0.997499883,0.065291993,0.014611781,361689,0.009795488,0.004818449,0.00484316,0.004868818
150265,advlogo_eps0.9_iter28,28,0.878787879,0,0.9718962,41.01334379,0.995969653,0.996454835,0.0832403,0.019742727,378589,0.010003192,0.004935186,0.00495424,0.004955686
38048,advlogo_eps0.9_iter5,5,0.6,0,0.99519616,49.29499793,0.999372959,0.999474645,0.021203185,0.003911495,134764,0.002446492,0.001163736,0.001150926,0.001167335
354829,advlogo_eps0.9_iter2,2,0.5,0,0.99815583,53.63292232,0.999763429,0.999853194,0.014339267,0.003936708,98230,0.001441361,0.000665095,0.00066498,0.000664874
525155,advlogo_eps0.9_iter2,2,0.333333333,0,0.9973478,53.24199725,0.999642789,0.999805331,0.02510887,0.003533244,131456,0.001894301,0.000890496,0.000885016,0.00090026
163314,advlogo_eps0.9_iter9,9,0.140606061,0,0.99328107,46.27117248,0.999192119,0.999386191,0.029571684,0.004244626,181302,0.003753184,0.001807032,0.001805078,0.001812383
259571,advlogo_eps0.9_iter11,11,0.515151515,0,0.99198097,44.67072821,0.998851538,0.999202192,0.038758256,0.005862594,284409,0.005553662,0.002644052,0.002658987,0.00265705
561679,advlogo_eps0.9_iter1,1,1,0,0.99939305,57.86518584,0.999933898,0.999861479,0.001235506,0.001580536,16658,0.000312696,0.000144084,0.000147679,0.000151067
153529,advlogo_eps0.9_iter34,34,0.106060606,0,0.97245365,39.05205914,0.996084392,0.996026814,0.084255442,0.024075389,389373,0.012793605,0.006432094,0.006447194,0.006537029
379800,advlogo_eps0.9_iter9,9,0.345454545,0,0.99597454,44.66083705,0.999418437,0.999481916,0.012935701,0.002221584,263516,0.005524143,0.002670519,0.002695114,0.002638215
253835,advlogo_eps0.9_iter20,20,0.204545455,0,0.98036337,41.90463347,0.997263134,0.997223914,0.054552861,0.021427989,357845,0.008760932,0.004361175,0.004302679,0.004386339
569565,advlogo_eps0.9_iter2,2,0.333333333,0,0.9991738,53.37606833,0.999909282,0.999836028,0.003153522,0.00109756,78870,0.001282761,0.000599524,0.000595431,0.0006069
219271,advlogo_eps0.9_iter7,7,0.257575758,0,0.99528074,46.54699911,0.999447763,0.999356866,0.026393138,0.007636905,258393,0.004699287,0.002199139,0.002182088,0.002244693
205647,advlogo_eps0.9_iter5,5,0.5,0,0.99699515,48.68704159,0.999649167,0.999453485,0.008236637,0.001255751,153128,0.002877158,0.001382357,0.00137095,0.001382503
